ingredient,amount,unit
"thick-sliced, peppered bacon",0.5,lb
green lentils,2,cups
yellow onion,1,whole
sweet potato,1,whole large
crushed tomatoes,28,oz
vegetable broth,32,oz
cumin,1,tsp
cinnamon,1,tsp
chili powder,1,tsp
bay,4,leaves
