ingredient,amount,unit
olive oil,2,tbsp
chicken thighs,6,pieces
salt,to taste,
pepper,to taste,
broth,4,cups
water,2 cups,
garlic,5,cloves
kale,1,bunch
orzo pasta,1,lb
parmesan cheese,to taste,
