ingredient,amount,unit
olive oil,2,tbsp
duck,1,whole
onion,0.5,whole
garlic,4,cloves
tomato paste,1,tbsp
beef stock,,as needed
bell pepper,1,whole
jalapeno,2,whole
cilantro,,to taste
cumin,1,tbsp
cinammon,1,tsp
bay,2,leaves
chili powder,1,tbsp
