step,substep,text
1,,Cook the quinoa following instructions on the box
2,,Cook the broccoli in a pan with 2 tsp of olive oil and garlic. Add water to steam after browning.
3,,Combine quinoa and broccoli. Squeeze lime juice. Add chopped cilantro and pine nuts. Mix well
